send_offset,event_offset,id,delay,content
1.1675,1.0110,145,0.1565,Log_145
1.1878,0.2511,33,0.9367,Log_33
1.1881,0.8082,122,0.3799,Log_122
1.1894,0.9988,142,0.1906,Log_142
1.1937,0.5913,83,0.6024,Log_83
1.2110,0.8018,120,0.4092,Log_120
1.2157,0.5127,72,0.7030,Log_72
1.2386,0.9843,138,0.2542,Log_138
1.2388,0.7121,106,0.5267,Log_106
1.2439,0.8599,128,0.3840,Log_128
1.2459,0.7510,113,0.4950,Log_113
1.2531,0.6524,94,0.6008,Log_94
1.2588,1.1213,162,0.1375,Log_162
1.2814,0.4679,63,0.8135,Log_63
1.2847,1.2141,176,0.0706,Log_176
1.2917,1.0853,155,0.2064,Log_155
1.2927,0.9933,141,0.2994,Log_141
1.2932,1.1289,164,0.1643,Log_164
1.2949,0.7131,107,0.5819,Log_107
1.3057,1.1765,170,0.1292,Log_170
1.3103,1.1800,171,0.1303,Log_171
1.3255,0.8144,123,0.5112,Log_123
1.3301,0.8180,125,0.5121,Log_125
1.3343,1.2492,183,0.0851,Log_183
1.3478,0.9100,133,0.4378,Log_133
1.3495,0.6873,100,0.6622,Log_100
1.3611,0.5829,81,0.7781,Log_81
1.3631,1.1711,168,0.1920,Log_168
1.3733,0.9994,143,0.3739,Log_143
1.3747,1.2181,178,0.1566,Log_178
1.3970,1.0025,144,0.3944,Log_144
1.3988,0.9055,132,0.4933,Log_132
1.4022,0.9611,135,0.4411,Log_135
1.4041,1.2451,182,0.1589,Log_182
1.4217,1.1743,169,0.2474,Log_169
1.4217,1.0146,146,0.4071,Log_146
1.4383,1.0243,148,0.4141,Log_148
1.4418,0.8153,124,0.6266,Log_124
1.4489,1.3162,196,0.1328,Log_196
1.4494,0.5240,73,0.9254,Log_73
1.4591,0.6593,96,0.7998,Log_96
1.4705,0.5878,82,0.8827,Log_82
1.4816,0.7820,117,0.6996,Log_117
1.4883,0.0657,11,1.4226,Log_11
1.5034,0.9887,139,0.5147,Log_139
1.5058,1.3979,202,0.1079,Log_202
1.5125,1.0685,151,0.4441,Log_151
1.5176,1.1987,174,0.3189,Log_174
1.5275,1.2428,181,0.2848,Log_181
1.5276,0.7727,116,0.7549,Log_116
1.5426,1.4462,212,0.0965,Log_212
1.5444,0.9911,140,0.5533,Log_140
1.5473,1.0685,152,0.4787,Log_152
1.5487,1.1241,163,0.4246,Log_163
1.5551,1.4042,204,0.1510,Log_204
1.5566,1.2203,179,0.3363,Log_179
1.5570,1.1043,160,0.4528,Log_160
1.5584,1.2794,188,0.2790,Log_188
1.5721,1.2971,189,0.2750,Log_189
1.5740,1.0182,147,0.5558,Log_147
1.5764,1.2097,175,0.3667,Log_175
1.5767,1.4680,213,0.1087,Log_213
1.5862,1.0868,156,0.4994,Log_156
1.5947,1.3501,199,0.2446,Log_199
1.5952,1.0404,149,0.5548,Log_149
1.6179,1.5098,224,0.1081,Log_224
1.6351,1.3519,200,0.2832,Log_200
1.6393,0.2255,31,1.4138,Log_31
1.6436,1.3983,203,0.2452,Log_203
1.6462,1.2544,185,0.3918,Log_185
1.6504,1.4876,218,0.1628,Log_218
1.6711,1.2652,187,0.4060,Log_187
1.6981,1.3826,201,0.3155,Log_201
1.7056,1.4700,214,0.2356,Log_214
1.7147,1.4047,205,0.3100,Log_205
1.7179,0.6949,102,1.0230,Log_102
1.7193,1.5028,222,0.2165,Log_222
1.7358,0.7474,112,0.9884,Log_112
1.7403,1.4752,215,0.2651,Log_215
1.7405,1.6905,261,0.0500,Log_261
1.7432,1.6561,252,0.0871,Log_252
1.7451,1.5160,226,0.2291,Log_226
1.7452,1.3040,193,0.4413,Log_193
1.7525,1.6205,241,0.1321,Log_241
1.7643,1.4916,219,0.2727,Log_219
1.7713,1.1026,159,0.6687,Log_159
1.7732,1.4282,208,0.3449,Log_208
1.7788,0.8592,127,0.9196,Log_127
1.7898,1.0745,154,0.7153,Log_154
1.7913,1.4057,206,0.3856,Log_206
1.7919,1.6027,236,0.1892,Log_236
1.7942,1.6508,250,0.1434,Log_250
1.7958,1.2170,177,0.5788,Log_177
1.7975,1.6707,257,0.1268,Log_257
1.7989,1.7329,267,0.0660,Log_267
1.8035,1.5710,230,0.2324,Log_230
1.8060,1.6033,237,0.2026,Log_237
1.8084,0.5003,71,1.3081,Log_71
1.8113,1.6157,239,0.1956,Log_239
1.8204,1.7431,270,0.0773,Log_270
1.8311,1.4126,207,0.4185,Log_207
1.8321,0.7236,109,1.1085,Log_109
1.8359,1.7092,265,0.1268,Log_265
1.8381,1.5716,231,0.2665,Log_231
1.8454,1.4925,220,0.3528,Log_220
1.8594,1.6228,243,0.2366,Log_243
1.8612,1.7683,279,0.0929,Log_279
1.8654,1.7490,272,0.1164,Log_272
1.8874,1.5657,229,0.3217,Log_229
1.8953,1.6322,247,0.2631,Log_247
1.8968,0.6791,99,1.2177,Log_99
1.9047,1.7838,282,0.1209,Log_282
1.9200,1.6330,248,0.2870,Log_248
1.9250,1.1896,172,0.7354,Log_172
1.9256,0.8615,129,1.0641,Log_129
1.9332,1.1207,161,0.8124,Log_161
1.9391,1.3029,192,0.6362,Log_192
1.9397,0.6371,90,1.3026,Log_90
1.9426,1.8230,289,0.1196,Log_289
1.9448,1.5189,227,0.4259,Log_227
1.9460,1.6303,245,0.3157,Log_245
1.9571,0.9700,137,0.9870,Log_137
1.9590,0.4916,68,1.4674,Log_68
1.9605,1.8129,286,0.1476,Log_286
1.9667,1.6212,242,0.3456,Log_242
1.9687,1.6790,260,0.2898,Log_260
1.9704,1.4858,217,0.4846,Log_217
1.9715,1.7641,275,0.2074,Log_275
1.9732,1.7004,263,0.2728,Log_263
1.9874,1.8148,287,0.1726,Log_287
1.9886,1.7446,271,0.2440,Log_271
1.9929,1.8872,300,0.1057,Log_300
1.9934,1.7391,269,0.2543,Log_269
1.9943,1.3122,195,0.6821,Log_195
1.9952,1.8517,291,0.1435,Log_291
1.9963,1.1695,167,0.8268,Log_167
2.0001,1.6690,256,0.3312,Log_256
2.0186,1.9584,311,0.0602,Log_311
2.0240,1.6238,244,0.4002,Log_244
2.0244,1.8563,293,0.1681,Log_293
2.0459,1.2605,186,0.7854,Log_186
2.0471,1.6744,258,0.3727,Log_258
2.0557,1.8616,295,0.1942,Log_295
2.0677,1.7752,281,0.2926,Log_281
2.0748,1.7074,264,0.3674,Log_264
2.0848,1.6341,249,0.4507,Log_249
2.0909,1.6067,238,0.4842,Log_238
2.0929,1.7667,278,0.3262,Log_278
2.0948,1.2974,191,0.7974,Log_191
2.1025,1.2972,190,0.8054,Log_190
2.1093,1.9614,312,0.1479,Log_312
2.1158,1.9756,315,0.1403,Log_315
2.1246,1.5089,223,0.6156,Log_223
2.1312,1.8739,298,0.2573,Log_298
2.1332,1.2505,184,0.8828,Log_184
2.1353,1.0998,158,1.0355,Log_158
2.1356,1.0514,150,1.0842,Log_150
2.1456,1.5150,225,0.6306,Log_225
2.1494,1.5008,221,0.6486,Log_221
2.1509,1.5861,233,0.5648,Log_233
2.1603,1.8193,288,0.3409,Log_288
2.1621,1.6977,262,0.4644,Log_262
2.1623,1.6190,240,0.5433,Log_240
2.1667,0.8061,121,1.3606,Log_121
2.1702,1.2422,180,0.9280,Log_180
2.1757,1.4800,216,0.6957,Log_216
2.1770,2.0663,329,0.1107,Log_329
2.1782,0.9428,134,1.2354,Log_134
2.1805,1.7662,277,0.4144,Log_277
2.1893,2.0335,326,0.1559,Log_326
2.1908,2.1044,340,0.0863,Log_340
2.2041,2.0126,320,0.1916,Log_320
2.2076,1.9371,308,0.2705,Log_308
2.2098,2.0254,323,0.1845,Log_323
2.2100,0.7998,119,1.4101,Log_119
2.2224,1.7614,274,0.4609,Log_274
2.2229,1.8995,301,0.3233,Log_301
2.2256,1.8622,296,0.3634,Log_296
2.2295,1.6671,255,0.5624,Log_255
2.2312,2.0709,332,0.1603,Log_332
2.2351,0.8234,126,1.4117,Log_126
2.2389,2.0783,334,0.1606,Log_334
2.2389,1.9840,318,0.2549,Log_318
2.2394,1.8602,294,0.3792,Log_294
2.2451,1.7367,268,0.5083,Log_268
2.2544,2.0325,325,0.2219,Log_325
2.2548,1.9801,316,0.2746,Log_316
2.2617,1.4428,211,0.8190,Log_211
2.2669,1.9629,313,0.3039,Log_313
2.2796,0.2275,32,2.0521,Log_32
2.2990,1.1342,166,1.1648,Log_166
2.3069,2.0472,328,0.2597,Log_328
2.3102,2.1252,343,0.1849,Log_343
2.3149,2.1412,348,0.1737,Log_348
2.3241,1.9389,309,0.3852,Log_309
2.3372,2.1850,359,0.1522,Log_359
2.3380,2.2761,384,0.0619,Log_384
2.3412,2.1178,342,0.2235,Log_342
2.3464,2.0898,335,0.2566,Log_335
2.3659,2.0667,330,0.2992,Log_330
2.3671,1.4419,210,0.9253,Log_210
2.3773,2.1939,361,0.1833,Log_361
2.3780,1.5852,232,0.7928,Log_232
2.3835,0.9635,136,1.4201,Log_136
2.3857,2.2736,383,0.1122,Log_383
2.3881,2.0324,324,0.3557,Log_324
2.4074,1.7695,280,0.6378,Log_280
2.4095,2.2206,364,0.1890,Log_364
2.4518,1.1298,165,1.3220,Log_165
2.4546,1.9132,304,0.5414,Log_304
2.4549,1.9329,307,0.5220,Log_307
2.4560,2.1749,357,0.2812,Log_357
2.4627,2.0763,333,0.3864,Log_333
2.4640,2.2414,373,0.2226,Log_373
2.4645,1.6529,251,0.8117,Log_251
2.4719,1.5374,228,0.9346,Log_228
2.4728,2.3600,397,0.1128,Log_397
2.4735,2.3135,389,0.1600,Log_389
2.4775,2.3510,396,0.1265,Log_396
2.4926,2.1653,352,0.3274,Log_352
2.4938,2.2715,382,0.2224,Log_382
2.4977,2.2459,374,0.2519,Log_374
2.5148,2.1366,346,0.3782,Log_346
2.5186,2.0133,321,0.5054,Log_321
2.5191,1.5953,234,0.9238,Log_234
2.5199,2.2479,375,0.2721,Log_375
2.5425,2.4373,411,0.1052,Log_411
2.5497,2.4117,405,0.1379,Log_405
2.5538,2.3007,385,0.2531,Log_385
2.5588,2.0947,337,0.4641,Log_337
2.5637,2.0671,331,0.4966,Log_331
2.5756,2.1373,347,0.4383,Log_347
2.5792,1.9869,319,0.5923,Log_319
2.5897,1.8715,297,0.7182,Log_297
2.5915,2.1414,349,0.4501,Log_349
2.5972,1.9740,314,0.6232,Log_314
2.5984,2.4450,416,0.1535,Log_416
2.6018,2.1996,362,0.4023,Log_362
2.6030,1.9451,310,0.6578,Log_310
2.6080,2.3383,393,0.2697,Log_393
2.6147,2.0221,322,0.5926,Log_322
2.6294,2.3103,387,0.3191,Log_387
2.6294,2.2389,372,0.3904,Log_372
2.6332,2.1910,360,0.4422,Log_360
2.6351,2.1709,354,0.4642,Log_354
2.6440,2.1682,353,0.4758,Log_353
2.6531,2.2300,370,0.4231,Log_370
2.6559,2.4410,413,0.2150,Log_413
2.6635,2.2261,367,0.4374,Log_367
2.6649,2.5680,437,0.0968,Log_437
2.6657,2.5831,440,0.0826,Log_440
2.6709,2.6209,449,0.0500,Log_449
2.6719,2.3935,400,0.2784,Log_400
2.6732,2.4379,412,0.2353,Log_412
2.6773,2.2536,376,0.4238,Log_376
2.6794,1.9090,303,0.7704,Log_303
2.6829,1.5971,235,1.0858,Log_235
2.6837,2.6050,446,0.0787,Log_446
2.6844,0.7065,105,1.9779,Log_105
2.6910,2.3998,403,0.2912,Log_403
2.6944,2.0961,338,0.5984,Log_338
2.7108,2.5678,436,0.1431,Log_436
2.7141,2.6494,460,0.0647,Log_460
2.7163,1.8531,292,0.8631,Log_292
2.7179,0.4353,55,2.2826,Log_55
2.7194,2.2224,365,0.4970,Log_365
2.7197,2.2561,377,0.4636,Log_377
2.7248,2.4962,427,0.2287,Log_427
2.7316,2.4948,426,0.2367,Log_426
2.7353,2.3948,401,0.3406,Log_401
2.7394,2.5564,433,0.1830,Log_433
2.7399,2.5663,435,0.1736,Log_435
2.7431,2.2227,366,0.5204,Log_366
2.7505,2.6137,448,0.1368,Log_448
2.7565,2.1513,351,0.6052,Log_351
2.7572,2.4714,419,0.2858,Log_419
2.7604,2.4357,409,0.3247,Log_409
2.7630,2.6310,454,0.1320,Log_454
2.7644,2.3955,402,0.3690,Log_402
2.7727,1.1958,173,1.5769,Log_173
2.7759,2.4749,420,0.3010,Log_420
2.7879,1.8486,290,0.9393,Log_290
2.7908,2.2597,378,0.5311,Log_378
2.8009,2.4259,408,0.3750,Log_408
2.8013,2.3502,395,0.4511,Log_395
2.8053,1.7265,266,1.0789,Log_266
2.8070,2.2678,381,0.5392,Log_381
2.8091,2.6306,453,0.1785,Log_453
2.8174,2.7655,475,0.0519,Log_475
2.8196,2.2645,380,0.5550,Log_380
2.8211,2.6015,444,0.2196,Log_444
2.8237,2.4414,414,0.3823,Log_414
2.8302,2.3286,392,0.5016,Log_392
2.8392,2.4805,423,0.3587,Log_423
2.8471,2.5077,429,0.3394,Log_429
2.8517,2.2287,368,0.6230,Log_368
2.8712,2.3127,388,0.5586,Log_388
2.8723,2.4708,418,0.4015,Log_418
2.8768,1.7572,273,1.1197,Log_273
2.8803,2.4773,422,0.4030,Log_422
2.8819,2.5737,439,0.3083,Log_439
2.8897,2.4099,404,0.4798,Log_404
2.8914,2.5883,442,0.3031,Log_442
2.9092,2.8115,484,0.0977,Log_484
2.9102,2.4151,407,0.4951,Log_407
2.9115,2.3021,386,0.6094,Log_386
2.9403,2.8045,481,0.1359,Log_481
2.9446,2.3833,399,0.5614,Log_399
2.9505,2.6895,464,0.2610,Log_464
2.9506,2.8148,485,0.1359,Log_485
2.9510,2.6478,459,0.3032,Log_459
2.9660,2.6992,465,0.2668,Log_465
2.9685,2.1282,344,0.8403,Log_344
2.9698,1.9061,302,1.0637,Log_302
2.9704,2.4771,421,0.4932,Log_421
2.9736,1.9233,306,1.0503,Log_306
2.9756,2.4469,417,0.5287,Log_417
2.9773,2.6051,447,0.3722,Log_447
2.9798,2.2361,371,0.7437,Log_371
2.9831,2.8389,487,0.1441,Log_487
2.9876,2.6727,462,0.3148,Log_462
2.9922,2.2090,363,0.7832,Log_363
2.9925,2.8748,495,0.1177,Log_495
2.9966,2.3183,391,0.6784,Log_391
2.9994,2.1421,350,0.8573,Log_350
3.0181,2.8098,483,0.2083,Log_483
3.0183,2.7307,468,0.2876,Log_468
3.0195,2.6861,463,0.3334,Log_463
3.0572,2.6527,461,0.4045,Log_461
3.0648,2.1329,345,0.9319,Log_345
3.0697,2.4366,410,0.6331,Log_410
3.0779,2.8365,486,0.2414,Log_486
3.0796,2.4842,424,0.5954,Log_424
3.0797,2.8788,496,0.2009,Log_496
3.0798,2.6472,458,0.4326,Log_458
3.0802,2.8722,492,0.2079,Log_492
3.0824,1.8043,284,1.2781,Log_284
3.0858,2.1724,355,0.9134,Log_355
3.0860,2.7851,477,0.3008,Log_477
3.1066,2.4875,425,0.6191,Log_425
3.1168,2.5524,432,0.5644,Log_432
3.1306,2.5893,443,0.5413,Log_443
3.1329,2.7967,479,0.3361,Log_479
3.1404,2.9979,509,0.1425,Log_509
3.1445,3.0488,519,0.0957,Log_519
3.1479,2.8946,499,0.2533,Log_499
3.1707,2.0343,327,1.1364,Log_327
3.1776,2.9242,502,0.2534,Log_502
3.1784,2.8456,489,0.3328,Log_489
3.1872,2.4130,406,0.7742,Log_406
3.1916,2.7147,466,0.4769,Log_466
3.1935,2.4985,428,0.6950,Log_428
3.1952,1.7880,283,1.4073,Log_283
3.1986,2.3419,394,0.8567,Log_394
3.2019,2.8097,482,0.3922,Log_482
3.2125,1.3164,197,1.8961,Log_197
3.2173,2.9912,508,0.2261,Log_508
3.2261,2.7148,467,0.5113,Log_467
3.2281,2.8740,493,0.3541,Log_493
3.2299,2.5713,438,0.6586,Log_438
3.2303,2.8412,488,0.3891,Log_488
3.2346,1.4385,209,1.7961,Log_209
3.2385,1.0897,157,2.1488,Log_157
3.2388,3.1776,544,0.0613,Log_544
3.2447,3.0856,527,0.1591,Log_527
3.2447,3.1073,532,0.1375,Log_532
3.2463,2.7424,473,0.5039,Log_473
3.2550,1.6617,254,1.5933,Log_254
3.2587,2.5849,441,0.6738,Log_441
3.2624,3.0034,510,0.2590,Log_510
3.2654,2.7559,474,0.5095,Log_474
3.2782,1.6318,246,1.6465,Log_246
3.2812,2.6364,455,0.6448,Log_455
3.2859,2.8037,480,0.4822,Log_480
3.2861,3.0457,516,0.2404,Log_516
3.3005,3.0464,517,0.2541,Log_517
3.3160,3.2611,563,0.0548,Log_563
3.3241,2.8508,490,0.4734,Log_490
3.3245,2.6365,456,0.6880,Log_456
3.3247,1.3215,198,2.0032,Log_198
3.3247,2.8827,498,0.4421,Log_498
3.3253,3.1187,536,0.2065,Log_536
3.3294,3.0155,513,0.3139,Log_513
3.3453,2.3163,390,1.0291,Log_390
3.3457,2.9375,504,0.4081,Log_504
3.3543,3.1322,538,0.2221,Log_538
3.3574,3.2570,560,0.1004,Log_560
3.3628,3.1876,546,0.1752,Log_546
3.3668,3.1378,539,0.2289,Log_539
3.3707,3.0145,512,0.3563,Log_512
3.3745,3.0053,511,0.3692,Log_511
3.3998,2.6235,450,0.7762,Log_450
3.4106,3.3442,581,0.0663,Log_581
3.4112,3.1056,531,0.3056,Log_531
3.4135,3.0764,524,0.3371,Log_524
3.4230,3.1913,549,0.2317,Log_549
3.4236,3.0818,526,0.3418,Log_526
3.4314,2.9624,505,0.4690,Log_505
3.4322,2.6417,457,0.7905,Log_457
3.4335,3.2544,558,0.1790,Log_558
3.4353,3.1908,548,0.2445,Log_548
3.4361,3.1712,542,0.2649,Log_542
3.4364,2.2611,379,1.1753,Log_379
3.4387,3.3199,576,0.1187,Log_576
3.4403,3.0975,529,0.3428,Log_529
3.4485,3.1404,540,0.3081,Log_540
3.4526,2.9688,506,0.4838,Log_506
3.4571,3.3036,573,0.1535,Log_573
3.4594,3.2196,554,0.2397,Log_554
3.4632,2.6273,451,0.8359,Log_451
3.4686,3.1850,545,0.2836,Log_545
3.4759,3.0484,518,0.4275,Log_518
3.4816,3.2573,561,0.2242,Log_561
3.4828,3.2059,551,0.2769,Log_551
3.4893,3.0545,520,0.4348,Log_520
3.5142,3.1003,530,0.4138,Log_530
3.5194,3.1478,541,0.3715,Log_541
3.5390,3.3562,583,0.1828,Log_583
3.5391,2.6275,452,0.9116,Log_452
3.5416,2.7416,472,0.7999,Log_472
3.5463,3.3739,586,0.1724,Log_586
3.5464,2.8742,494,0.6722,Log_494
3.5522,3.4817,610,0.0705,Log_610
3.5601,3.3337,579,0.2264,Log_579
3.5641,1.6787,259,1.8854,Log_259
3.5680,3.2683,564,0.2997,Log_564
3.5698,3.4900,613,0.0797,Log_613
3.5768,2.8578,491,0.7190,Log_491
3.5820,2.9304,503,0.6517,Log_503
3.5928,3.2576,562,0.3352,Log_562
3.5933,3.2799,568,0.3133,Log_568
3.5961,3.4235,599,0.1726,Log_599
3.5990,2.3745,398,1.2245,Log_398
3.6172,3.2901,570,0.3271,Log_570
3.6210,3.2548,559,0.3662,Log_559
3.6339,3.3137,575,0.3202,Log_575
3.6357,3.0719,522,0.5638,Log_522
3.6373,3.4136,596,0.2237,Log_596
3.6390,3.5222,620,0.1169,Log_620
3.6434,1.9837,317,1.6597,Log_317
3.6508,3.3721,585,0.2788,Log_585
3.6512,3.4194,597,0.2318,Log_597
3.6568,3.5905,631,0.0663,Log_631
3.6595,3.3924,592,0.2671,Log_592
3.6620,3.4449,603,0.2171,Log_603
3.6652,3.2958,571,0.3694,Log_571
3.6662,2.9882,507,0.6780,Log_507
3.6772,3.2092,552,0.4680,Log_552
3.7027,2.1079,341,1.5948,Log_341
3.7038,3.2319,555,0.4719,Log_555
3.7110,3.2353,556,0.4757,Log_556
3.7121,3.4902,614,0.2219,Log_614
3.7157,3.6657,648,0.0500,Log_648
3.7158,3.4240,600,0.2918,Log_600
3.7316,3.2838,569,0.4478,Log_569
3.7389,3.6781,654,0.0608,Log_654
3.7426,3.5435,623,0.1991,Log_623
3.7456,3.4360,602,0.3096,Log_602
3.7461,3.6348,638,0.1113,Log_638
3.7471,3.5573,625,0.1898,Log_625
3.7518,3.3960,593,0.3559,Log_593
3.7523,3.5970,633,0.1553,Log_633
3.7574,3.5412,622,0.2162,Log_622
3.7655,3.3819,590,0.3835,Log_590
3.7699,2.5593,434,1.2106,Log_434
3.7749,3.3244,577,0.4505,Log_577
3.7793,3.6608,646,0.1185,Log_646
3.7822,3.4644,608,0.3178,Log_608
3.7826,3.1716,543,0.6111,Log_543
3.7828,3.6764,653,0.1064,Log_653
3.7873,3.5694,626,0.2179,Log_626
3.7910,3.2799,567,0.5111,Log_567
3.7948,3.5514,624,0.2435,Log_624
3.7968,3.3884,591,0.4084,Log_591
3.8088,3.4987,616,0.3102,Log_616
3.8111,3.4480,604,0.3631,Log_604
3.8119,3.4978,615,0.3141,Log_615
3.8131,3.3366,580,0.4765,Log_580
3.8192,3.6694,649,0.1498,Log_649
3.8280,3.7071,659,0.1209,Log_659
3.8345,2.4439,415,1.3906,Log_415
3.8353,3.4694,609,0.3659,Log_609
3.8441,3.6486,642,0.1955,Log_642
3.8455,3.4246,601,0.4209,Log_601
3.8456,2.8983,501,0.9474,Log_501
3.8481,3.7243,666,0.1238,Log_666
3.8523,3.0253,514,0.8269,Log_514
3.8525,3.4604,606,0.3921,Log_606
3.8531,3.6496,643,0.2035,Log_643
3.8571,3.5875,629,0.2696,Log_629
3.8594,3.6803,656,0.1791,Log_656
3.8611,3.1279,537,0.7332,Log_537
3.8651,3.0812,525,0.7839,Log_525
3.8840,2.5156,430,1.3684,Log_430
3.8917,3.1136,534,0.7781,Log_534
3.8937,3.5273,621,0.3664,Log_621
3.8961,2.8971,500,0.9990,Log_500
3.9012,3.3455,582,0.5557,Log_582
3.9031,3.7235,665,0.1796,Log_665
3.9086,3.7215,664,0.1871,Log_664
3.9092,3.6409,641,0.2683,Log_641
3.9186,3.7493,672,0.1694,Log_672
3.9194,3.0754,523,0.8440,Log_523
3.9243,3.6403,640,0.2841,Log_640
3.9311,3.7857,681,0.1454,Log_681
3.9324,3.4852,611,0.4472,Log_611
3.9335,3.6319,636,0.3015,Log_636
3.9351,3.7588,676,0.1764,Log_676
3.9362,3.4643,607,0.4720,Log_607
3.9389,3.8271,690,0.1118,Log_690
3.9473,3.4227,598,0.5246,Log_598
3.9540,3.3689,584,0.5852,Log_584
3.9603,2.5164,431,1.4438,Log_431
3.9644,2.7334,469,1.2310,Log_469
3.9734,3.6037,635,0.3697,Log_635
3.9748,3.8050,684,0.1699,Log_684
3.9752,3.3802,588,0.5950,Log_588
3.9769,2.7345,470,1.2424,Log_470
3.9885,3.1893,547,0.7993,Log_547
3.9928,3.8866,705,0.1062,Log_705
3.9980,3.0949,528,0.9030,Log_528
4.0081,3.9131,710,0.0950,Log_710
4.0111,3.6758,652,0.3353,Log_652
4.0130,2.7351,471,1.2779,Log_471
4.0193,3.5121,618,0.5072,Log_618
4.0203,2.1843,358,1.8361,Log_358
4.0259,3.1098,533,0.9161,Log_533
4.0349,3.2119,553,0.8230,Log_553
4.0380,3.4855,612,0.5525,Log_612
4.0404,3.8420,695,0.1984,Log_695
4.0700,3.7853,680,0.2847,Log_680
4.0835,3.8552,698,0.2283,Log_698
4.0925,3.2958,572,0.7966,Log_572
4.0958,3.1164,535,0.9795,Log_535
4.0963,3.8042,683,0.2921,Log_683
4.0968,3.7437,670,0.3531,Log_670
4.1005,3.8118,686,0.2887,Log_686
4.1045,3.3280,578,0.7765,Log_578
4.1060,2.2292,369,1.8768,Log_369
4.1100,3.8630,701,0.2469,Log_701
4.1146,3.6716,650,0.4431,Log_650
4.1156,3.7294,668,0.3862,Log_668
4.1168,3.6798,655,0.4370,Log_655
4.1235,3.8172,688,0.3064,Log_688
